Fiplex000000023	\pages\htdocs_1cr	Signal Booster (auxiliar board)	1cr/0.0	0	0	0
Fiplex000000024	\pages\htdocs_1c3	Signal Booster	1c/3.0	0	0	0
Fiplex000000029	\pages\htdocs_1dm6	DAS Master	1dm/6.0	0	0	0
Fiplex000000039	\pages\htdocs_1dm6_1	DAS Master	1dm/6.1	0	0	0
Fiplex000000042	\pages\htdocs_1dm8	DAS Master	1dm/8.0	0	0	0
Fiplex000000089	\pages\htdocs_2c2	Signal Booster SDRP	2c/2.0	1	2	0
Fiplex000000090	\pages\htdocs_3dr1	DAS Remote SDRP	3dr/1.0	1	1	1
Fiplex000000091	\pages\htdocs_5dm1	DAS Master SDRP	5dm/1.0	1	1	1
Fiplex000000092	\pages\htdocs_2de	DAS Expansion SDRP	2de/0.0	1	2	0
Fiplex000000093	\pages\htdocs_2c3	Signal Booster SDRP	2c/3.0	1	2	0
